V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0,0.25,0.5,0.75,1,1.5,2,2.5,3,4
0,0,0,0,0.8,1,1,1,1,1
0,0,0,0,0.44,1,1,1,1,1
0,0,0,0,0.32,1,1,1,1,1
0,0,0,0,0.36,1,1,1,1,1
0,0,0,0,0.28,1,1,1,1,1
0,0.0464,0.0586,0.0646,0.1346,0.278,0.5324,0.6886,0.7398,0.8622
0,0.0502,0.0578,0.0598,0.0922,0.3468,0.613,0.7784,0.8374,0.913
0,0.0434,0.0476,0.0618,0.0764,0.456,0.6318,0.794,0.8584,0.9176
0,0.0412,0.0524,0.075,0.1156,0.428,0.684,0.8096,0.8762,0.9388
0,0.051,0.0386,0.0562,0.0506,0.287,0.7256,0.8066,0.8814,0.9414
