V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0,0.25,0.5,0.75,1,1.5,2,2.5,3,4
0,0,0,0.04,0.6,1,1,1,1,1
0,0,0,0,0.28,1,1,1,1,1
0,0,0,0.04,0.32,1,1,1,1,1
0,0,0,0,0.24,1,1,1,1,1
0,0,0,0,0.24,1,1,1,1,1
0,0.0284,0.03,0.0362,0.033,0.0456,0.0576,0.0478,0.0562,0.065
0,0.0376,0.04,0.0454,0.0496,0.058,0.062,0.197,0.2704,0.6746
0,0.0428,0.0544,0.0302,0.0436,0.11120000000000001,0.1638,0.4228,0.6622,0.8506
0,0.0428,0.05,0.0536,0.0714,0.0978,0.2268,0.46599999999999997,0.766,0.8892
0,0.033800000000000004,0.0362,0.0528,0.0616,0.1278,0.3668,0.6842,0.8042,0.8992
