V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0,0.25,0.5,0.75,1,1.5,2,2.5,3,4
0,0,0,0.04,0.76,1,1,1,1,1
0,0,0,0,0.48,1,1,1,1,1
0,0,0,0,0.28,1,1,1,1,1
0,0,0,0,0.36,1,1,1,1,1
0,0,0,0,0.2,1,1,1,1,1
0,0.0344,0.0716,0.0596,0.0572,0.0668,0.0812,0.2304,0.2984,0.7312
0,0.0414,0.0318,0.043000000000000003,0.053,0.0608,0.07780000000000001,0.2074,0.3632,0.7952
0,0.03506666666666667,0.036,0.0356,0.0344,0.05533333333333333,0.06626666666666667,0.1668,0.3864,0.7770666666666667
0,0.0346,0.0205,0.030100000000000002,0.0286,0.0488,0.0497,0.17,0.4457,0.7612
0,0.02632,0.02904,0.02544,0.02816,0.03976,0.07,0.12792,0.38128,0.77936
