"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"threshold.vec",0,0.25,0.5,0.75,1,1.5,2,2.5,3,4
"",0,0,0,0.04,0.88,1,1,1,1,1
"",0,0,0,0,0.72,1,1,1,1,1
"",0,0,0,0,0.64,1,1,1,1,1
"",0,0,0,0.04,0.32,1,1,1,1,1
"",0,0,0,0,0.28,1,1,1,1,1
"",0,0.0402,0.041,0.0326,0.0366,0.0332,0.044,0.042,0.0372,0.0546
"",0,0.047,0.033,0.045,0.0472,0.0394,0.0448,0.0432,0.0664,0.0656
"",0,0.0396,0.0474,0.05,0.0464,0.0382,0.0438,0.0816,0.1354,0.3794
"",0,0.0416,0.04,0.0382,0.0658,0.073,0.09,0.2502,0.5772,0.8632
"",0,0.0416,0.0452,0.0402,0.0592,0.0774,0.3456,0.6876,0.8168,0.927
